ticket_id,issue_area,issue_category,issue_sub_category,customer_sentiment,issue_complexity,product_category,product_sub_category,priority
89,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Air Conditioner,high
90,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Air Conditioner,urgent
91,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Water Purifier,medium
92,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Water Purifier,medium
93,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Water Purifier,medium
94,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Water Purifier,medium
95,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Water Purifier,high
96,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Water Purifier,high
97,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Water Purifier,urgent
98,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Water Purifier,high
99,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Water Purifier,urgent
100,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Oven Toaster Grills (OTG),low
101,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Oven Toaster Grills (OTG),medium
102,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Oven Toaster Grills (OTG),medium
103,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Oven Toaster Grills (OTG),medium
104,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Oven Toaster Grills (OTG),high
105,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Oven Toaster Grills (OTG),high
106,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Oven Toaster Grills (OTG),high
107,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Oven Toaster Grills (OTG),medium
108,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Oven Toaster Grills (OTG),urgent
109,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,T-Shirt,low
110,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,T-Shirt,medium
111,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,T-Shirt,medium
112,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,T-Shirt,medium
113,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,T-Shirt,high
114,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,T-Shirt,high
115,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,T-Shirt,high
116,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,T-Shirt,high
117,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,T-Shirt,urgent
118,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,Jeans,medium
119,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,Jeans,medium
120,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,Jeans,medium
121,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,Jeans,medium
122,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,Jeans,high
123,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,Jeans,high
124,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,Jeans,high
125,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,Jeans,high
126,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,Jeans,urgent
127,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,Shoes,low
128,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,Shoes,medium
129,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,Shoes,high
130,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,Shoes,medium
131,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,Shoes,high
132,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,Shoes,high
133,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,Shoes,high
134,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,Shoes,high
135,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,Shoes,urgent
136,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,Toy,low
137,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,Toy,medium
138,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,Toy,medium
139,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,Toy,medium
140,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,Toy,high
141,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,Toy,high
142,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,Toy,high
143,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,Toy,high
144,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,Toy,urgent
145,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,Backpack,low
146,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,Backpack,medium
147,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,Backpack,medium
148,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,Backpack,medium
149,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,Backpack,high
150,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,Backpack,high
151,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,Backpack,high
152,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,Backpack,high
153,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,Backpack,high
154,Order,Order Delivery Issues,Delayed delivery,neutral,less,Men/Women/Kids,Wrist Watch,low
155,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Men/Women/Kids,Wrist Watch,medium
156,Order,Order Delivery Issues,Delayed delivery,neutral,high,Men/Women/Kids,Wrist Watch,medium
157,Order,Order Delivery Issues,Delayed delivery,negative,less,Men/Women/Kids,Wrist Watch,medium
158,Order,Order Delivery Issues,Delayed delivery,negative,medium,Men/Women/Kids,Wrist Watch,high
159,Order,Order Delivery Issues,Delayed delivery,negative,high,Men/Women/Kids,Wrist Watch,urgent
160,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Men/Women/Kids,Wrist Watch,high
161,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Men/Women/Kids,Wrist Watch,high
162,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Men/Women/Kids,Wrist Watch,urgent
163,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,Laptop,low
164,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,Laptop,medium
165,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,Laptop,medium
166,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,Laptop,medium
167,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,Laptop,high
168,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,Laptop,high
169,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,Laptop,high
170,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,Laptop,high
171,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,Laptop,urgent
172,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,Mobile,low
173,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,Mobile,medium
174,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,Mobile,medium
175,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,Mobile,medium
176,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,Mobile,high
177,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,Mobile,high
178,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,Mobile,high
179,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,Mobile,high
180,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,Mobile,urgent
181,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,Television,low
182,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,Television,medium
183,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,Television,medium
184,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,Television,medium
185,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,Television,high
186,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,Television,high
187,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,Television,high
188,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,Television,high
189,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,Television,urgent
190,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,Tablet,low
191,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,Tablet,medium
192,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,Tablet,medium
193,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,Tablet,medium
194,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,Tablet,high
195,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,Tablet,high
196,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,Tablet,high
197,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,Tablet,high
198,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,Tablet,urgent
199,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,Headphone,low
200,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,Headphone,medium
201,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,Headphone,medium
202,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,Headphone,medium
203,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,Headphone,high
204,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,Headphone,high
205,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,Headphone,high
206,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,Headphone,high
207,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,Headphone,urgent
208,Order,Order Delivery Issues,Package not delivered,neutral,less,Electronics,DSLR Camera,medium
209,Order,Order Delivery Issues,Package not delivered,neutral,medium,Electronics,DSLR Camera,medium
210,Order,Order Delivery Issues,Package not delivered,neutral,high,Electronics,DSLR Camera,medium
211,Order,Order Delivery Issues,Package not delivered,negative,less,Electronics,DSLR Camera,medium
212,Order,Order Delivery Issues,Package not delivered,negative,medium,Electronics,DSLR Camera,high
213,Order,Order Delivery Issues,Package not delivered,negative,high,Electronics,DSLR Camera,high
214,Order,Order Delivery Issues,Package not delivered,frustrated,less,Electronics,DSLR Camera,high
215,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Electronics,DSLR Camera,high
216,Order,Order Delivery Issues,Package not delivered,frustrated,high,Electronics,DSLR Camera,urgent
217,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Refrigerator,low
218,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Refrigerator,medium
219,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Refrigerator,medium
220,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Refrigerator,medium
221,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Refrigerator,high
222,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Refrigerator,high
223,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Refrigerator,high
224,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Refrigerator,high
225,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Refrigerator,urgent
226,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Washing Machine,low
227,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Washing Machine,medium
228,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Washing Machine,medium
229,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Washing Machine,medium
230,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Washing Machine,high
231,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Washing Machine,high
232,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Washing Machine,high
233,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Washing Machine,high
234,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Washing Machine,urgent
235,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Microwave Oven,low
236,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Microwave Oven,medium
237,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Microwave Oven,medium
238,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Microwave Oven,medium
239,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Microwave Oven,high
240,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Microwave Oven,high
241,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Microwave Oven,high
242,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Microwave Oven,medium
243,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Microwave Oven,urgent
244,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Air Conditioner,low
245,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Air Conditioner,medium
246,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Air Conditioner,medium
247,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Air Conditioner,medium
248,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Air Conditioner,high
249,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Air Conditioner,high
250,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Air Conditioner,high
251,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Air Conditioner,high
252,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Air Conditioner,urgent
253,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Water Purifier,low
254,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Water Purifier,medium
255,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Water Purifier,medium
256,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Water Purifier,medium
257,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Water Purifier,high
258,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Water Purifier,high
259,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Water Purifier,high
260,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Water Purifier,high
261,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Water Purifier,urgent
262,Order,Order Delivery Issues,Package not delivered,neutral,less,Appliances,Oven Toaster Grills (OTG),low
263,Order,Order Delivery Issues,Package not delivered,neutral,medium,Appliances,Oven Toaster Grills (OTG),medium
264,Order,Order Delivery Issues,Package not delivered,neutral,high,Appliances,Oven Toaster Grills (OTG),medium
265,Order,Order Delivery Issues,Package not delivered,negative,less,Appliances,Oven Toaster Grills (OTG),medium
266,Order,Order Delivery Issues,Package not delivered,negative,medium,Appliances,Oven Toaster Grills (OTG),high
267,Order,Order Delivery Issues,Package not delivered,negative,high,Appliances,Oven Toaster Grills (OTG),high
268,Order,Order Delivery Issues,Package not delivered,frustrated,less,Appliances,Oven Toaster Grills (OTG),high
269,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Appliances,Oven Toaster Grills (OTG),high
270,Order,Order Delivery Issues,Package not delivered,frustrated,high,Appliances,Oven Toaster Grills (OTG),urgent
271,Order,Order Delivery Issues,Package not delivered,neutral,less,Men/Women/Kids,T-Shirt,low
272,Order,Order Delivery Issues,Package not delivered,neutral,medium,Men/Women/Kids,T-Shirt,medium
273,Order,Order Delivery Issues,Package not delivered,neutral,high,Men/Women/Kids,T-Shirt,medium
274,Order,Order Delivery Issues,Package not delivered,negative,less,Men/Women/Kids,T-Shirt,medium
275,Order,Order Delivery Issues,Package not delivered,negative,medium,Men/Women/Kids,T-Shirt,high
276,Order,Order Delivery Issues,Package not delivered,negative,high,Men/Women/Kids,T-Shirt,high
277,Order,Order Delivery Issues,Package not delivered,frustrated,less,Men/Women/Kids,T-Shirt,high
278,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Men/Women/Kids,T-Shirt,high
279,Order,Order Delivery Issues,Package not delivered,frustrated,high,Men/Women/Kids,T-Shirt,urgent
280,Order,Order Delivery Issues,Package not delivered,neutral,less,Men/Women/Kids,Jeans,low
281,Order,Order Delivery Issues,Package not delivered,neutral,medium,Men/Women/Kids,Jeans,medium
282,Order,Order Delivery Issues,Package not delivered,neutral,high,Men/Women/Kids,Jeans,medium
283,Order,Order Delivery Issues,Package not delivered,negative,less,Men/Women/Kids,Jeans,medium
284,Order,Order Delivery Issues,Package not delivered,negative,medium,Men/Women/Kids,Jeans,high
285,Order,Order Delivery Issues,Package not delivered,negative,high,Men/Women/Kids,Jeans,high
286,Order,Order Delivery Issues,Package not delivered,frustrated,less,Men/Women/Kids,Jeans,high
287,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Men/Women/Kids,Jeans,high
288,Order,Order Delivery Issues,Package not delivered,frustrated,high,Men/Women/Kids,Jeans,urgent
289,Order,Order Delivery Issues,Package not delivered,neutral,less,Men/Women/Kids,Shoes,low
290,Order,Order Delivery Issues,Package not delivered,neutral,medium,Men/Women/Kids,Shoes,medium
291,Order,Order Delivery Issues,Package not delivered,neutral,high,Men/Women/Kids,Shoes,medium
292,Order,Order Delivery Issues,Package not delivered,negative,less,Men/Women/Kids,Shoes,medium
293,Order,Order Delivery Issues,Package not delivered,negative,medium,Men/Women/Kids,Shoes,high
294,Order,Order Delivery Issues,Package not delivered,negative,high,Men/Women/Kids,Shoes,high
295,Order,Order Delivery Issues,Package not delivered,frustrated,less,Men/Women/Kids,Shoes,high
296,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Men/Women/Kids,Shoes,high
297,Order,Order Delivery Issues,Package not delivered,frustrated,high,Men/Women/Kids,Shoes,urgent
298,Order,Order Delivery Issues,Package not delivered,neutral,less,Men/Women/Kids,Toy,low
299,Order,Order Delivery Issues,Package not delivered,neutral,medium,Men/Women/Kids,Toy,medium
300,Order,Order Delivery Issues,Package not delivered,neutral,high,Men/Women/Kids,Toy,medium
301,Order,Order Delivery Issues,Package not delivered,negative,less,Men/Women/Kids,Toy,medium
302,Order,Order Delivery Issues,Package not delivered,negative,medium,Men/Women/Kids,Toy,high
303,Order,Order Delivery Issues,Package not delivered,negative,high,Men/Women/Kids,Toy,high
304,Order,Order Delivery Issues,Package not delivered,frustrated,less,Men/Women/Kids,Toy,high
305,Order,Order Delivery Issues,Package not delivered,frustrated,medium,Men/Women/Kids,Toy,high
306,Order,Order Delivery Issues,Package not delivered,frustrated,high,Men/Women/Kids,Toy,urgent
307,Order,Order Delivery Issues,Package not delivered,neutral,less,Men/Women/Kids,Backpack,low
308,Order,Order Delivery Issues,Package not delivered,neutral,medium,Men/Women/Kids,Backpack,medium
309,Order,Order Delivery Issues,Package not delivered,neutral,high,Men/Women/Kids,Backpack,medium
310,Order,Order Delivery Issues,Package not delivered,negative,less,Men/Women/Kids,Backpack,medium
311,Order,Order Delivery Issues,Package not delivered,negative,medium,Men/Women/Kids,Backpack,high
312,Order,Order Delivery Issues,Package not delivered,negative,high,Men/Women/Kids,Backpack,high
